id_of_measurement,desirable_flight_level,desirable_lmotor,desirable_rmotor,lmotor_value,rmotor_value,altitude,temperature,pressure
1,200,200,200,0,0,74,24.64,1020.22
2,200,201,201,200,200,78,24.64,1020.22
3,200,202,202,200,200,107,24.64,1020.17
4,200,203,203,200,200,122,24.64,1020.17
5,200,204,204,200,200,122,24.64,1020.17
6,200,205,205,200,200,139,24.64,1020.17
7,200,206,206,200,200,141,24.64,1020.17
8,200,207,207,200,200,155,24.64,1020.17
9,200,208,208,200,200,159,24.64,1020.17
10,200,209,209,200,200,173,24.64,1020.19
11,200,210,210,200,200,180,24.64,1020.19
12,200,211,211,200,200,183,24.64,1020.19
13,200,212,212,200,200,195,24.65,1020.21
14,200,213,213,200,200,201,24.65,1020.21
15,200,212,212,200,200,203,24.65,1020.21
16,200,211,211,200,200,205,24.65,1020.21
17,200,210,210,200,200,222,24.64,1020.21
18,200,209,209,200,200,229,24.64,1020.21
19,200,208,208,200,200,234,24.64,1020.21
20,200,207,207,200,200,240,24.65,1020.19
21,200,206,206,200,200,244,24.65,1020.19
22,200,205,205,200,200,250,24.65,1020.19
23,200,204,204,200,200,255,24.65,1020.19
24,200,203,203,200,200,255,24.64,1020.24
25,200,202,202,200,200,256,24.64,1020.24
26,200,201,201,200,200,268,24.64,1020.24
27,200,200,200,200,200,271,24.64,1020.15
28,200,199,199,200,200,275,24.64,1020.15
29,200,198,198,200,200,277,24.64,1020.15
30,200,197,197,200,200,280,24.64,1020.15
31,200,196,196,200,200,281,24.64,1020.22
32,200,195,195,200,200,281,24.64,1020.22
33,200,194,194,200,200,282,24.64,1020.22
34,200,193,193,200,200,282,24.64,1020.18
35,200,192,192,200,200,281,24.64,1020.18
36,200,191,191,200,200,282,24.64,1020.18
37,200,190,190,200,200,282,24.63,1020.22
38,200,189,189,200,200,283,24.63,1020.22
39,200,188,188,200,200,282,24.63,1020.22
40,200,187,187,200,200,282,24.63,1020.22
41,200,186,186,200,200,282,24.61,1020.27
42,200,185,185,199,199,282,24.61,1020.27
43,200,184,184,198,198,282,24.61,1020.27
44,200,183,183,197,197,280,24.62,1020.19
45,200,182,182,196,196,278,24.62,1020.19
46,200,181,181,195,195,277,24.62,1020.19
47,200,180,180,194,194,275,24.62,1020.19
48,200,179,179,193,193,272,24.61,1020.21
49,200,178,178,192,192,268,24.61,1020.21
50,200,177,177,191,191,266,24.61,1020.21
51,200,176,176,190,190,261,24.62,1020.15
52,200,175,175,189,189,258,24.62,1020.15
53,200,174,174,188,188,255,24.62,1020.15
54,200,173,173,187,187,252,24.62,1020.15
55,200,172,172,186,186,248,24.61,1020.23
56,200,171,171,185,185,244,24.61,1020.23
57,200,170,170,184,184,241,24.61,1020.23
58,200,169,169,183,183,238,24.61,1020.23
59,200,168,168,182,182,233,24.61,1020.23
60,200,167,167,181,181,229,24.61,1020.23
61,200,166,166,180,180,225,24.61,1020.23
62,200,165,165,179,179,222,24.61,1020.19
63,200,164,164,178,178,218,24.61,1020.19
64,200,163,163,177,177,202,24.61,1020.19
65,200,162,162,176,176,189,24.61,1020.17
66,200,163,163,175,175,176,24.61,1020.17
67,200,164,164,174,174,160,24.61,1020.17
68,200,165,165,173,173,151,24.61,1020.17
69,200,166,166,172,172,144,24.61,1020.21
70,200,167,167,171,171,136,24.61,1020.21
71,200,168,168,170,170,130,24.61,1020.21
72,200,169,169,169,169,130,24.62,1020.23
73,200,170,170,168,168,96,24.62,1020.23
74,200,171,171,167,167,86,24.62,1020.23
75,200,172,172,166,166,75,24.62,1020.22
76,200,173,173,165,165,76,24.62,1020.22
77,200,174,174,164,164,76,24.62,1020.22
