id_of_measurement,desirable_flight_level,desirable_lmotor,desirable_rmotor,lmotor_value,rmotor_value,altitude,temperature,pressure
1,200,200,200,0,0,74,24.44,1020.83
2,200,201,201,200,200,74,24.44,1020.83
3,200,202,202,200,200,88,24.44,1020.83
4,200,203,203,200,200,120,24.44,1020.83
5,200,204,204,200,200,129,24.46,1020.85
6,200,205,205,200,200,139,24.46,1020.85
7,200,206,206,200,200,148,24.46,1020.85
8,200,207,207,200,200,157,24.44,1020.8
9,200,208,208,200,200,161,24.44,1020.8
10,200,209,209,200,200,173,24.44,1020.8
11,200,210,210,200,200,181,24.46,1020.92
12,200,211,211,200,200,188,24.46,1020.92
13,200,212,212,200,200,192,24.46,1020.92
14,200,213,213,200,200,198,24.46,1020.92
15,200,214,214,200,200,210,24.44,1020.86
16,200,213,213,200,200,216,24.44,1020.86
17,200,212,212,200,200,224,24.44,1020.86
18,200,211,211,200,200,231,24.44,1020.87
19,200,210,210,200,200,236,24.44,1020.87
20,200,209,209,200,200,243,24.44,1020.87
21,200,208,208,200,200,249,24.44,1020.87
22,200,207,207,200,200,254,24.44,1020.93
23,200,206,206,200,200,260,24.44,1020.93
24,200,205,205,200,200,265,24.44,1020.93
25,200,204,204,200,200,268,24.44,1020.86
26,200,203,203,200,200,272,24.44,1020.86
27,200,202,202,200,200,274,24.44,1020.86
28,200,201,201,200,200,280,24.44,1020.86
29,200,200,200,200,200,282,24.44,1020.94
30,200,199,199,200,200,284,24.44,1020.94
31,200,198,198,200,200,286,24.44,1020.94
32,200,197,197,200,200,288,24.44,1020.91
33,200,196,196,200,200,289,24.44,1020.91
34,200,195,195,200,200,291,24.44,1020.91
35,200,194,194,200,200,292,24.44,1020.91
36,200,193,193,200,200,292,24.44,1020.86
37,200,192,192,200,200,292,24.44,1020.86
38,200,191,191,200,200,293,24.44,1020.86
39,200,190,190,200,200,295,24.44,1020.91
40,200,189,189,200,200,297,24.44,1020.91
41,200,188,188,200,200,299,24.44,1020.91
42,200,187,187,200,200,304,24.42,1020.86
43,200,186,186,200,200,306,24.42,1020.86
44,200,185,185,199,199,309,24.42,1020.86
45,200,184,184,198,198,310,24.42,1020.86
46,200,183,183,197,197,311,24.42,1020.81
47,200,182,182,196,196,312,24.42,1020.81
48,200,181,181,195,195,313,24.42,1020.81
49,200,180,180,194,194,313,24.42,1020.85
50,200,179,179,193,193,313,24.42,1020.85
51,200,178,178,192,192,313,24.42,1020.85
52,200,177,177,191,191,312,24.42,1020.85
53,200,176,176,190,190,310,24.42,1020.85
54,200,175,175,189,189,307,24.42,1020.85
55,200,174,174,188,188,304,24.42,1020.85
56,200,173,173,187,187,300,24.42,1020.87
57,200,172,172,186,186,295,24.42,1020.87
58,200,171,171,185,185,293,24.42,1020.87
59,200,170,170,184,184,288,24.42,1020.87
60,200,169,169,183,183,284,24.42,1020.85
61,200,168,168,182,182,280,24.42,1020.85
62,200,167,167,181,181,276,24.42,1020.85
63,200,166,166,180,180,267,24.42,1020.86
64,200,165,165,179,179,261,24.42,1020.86
65,200,164,164,178,178,257,24.42,1020.86
66,200,163,163,177,177,245,24.42,1020.86
67,200,162,162,176,176,243,24.42,1020.88
68,200,161,161,175,175,239,24.42,1020.88
69,200,160,160,174,174,173,24.42,1020.88
70,200,161,161,173,173,166,24.42,1020.81
71,200,162,162,172,172,149,24.42,1020.81
72,200,163,163,171,171,144,24.42,1020.81
73,200,164,164,170,170,135,24.42,1020.86
74,200,165,165,169,169,119,24.42,1020.86
75,200,166,166,168,168,88,24.42,1020.86
76,200,167,167,167,167,76,24.42,1020.86
77,200,168,168,166,166,76,24.42,1020.84
78,200,169,169,165,165,75,24.42,1020.84
79,200,170,170,164,164,76,24.42,1020.84
80,200,171,171,163,163,76,24.42,1020.87
81,200,172,172,162,162,75,24.42,1020.87
82,200,173,173,161,161,75,24.42,1020.87
83,200,174,174,160,160,76,24.42,1020.87
84,200,175,175,161,161,76,24.42,1020.87
85,200,176,176,162,162,75,24.42,1020.87
86,200,177,177,163,163,76,24.42,1020.87
87,200,178,178,164,164,76,24.42,1020.88
88,200,179,179,165,165,76,24.42,1020.88
89,200,180,180,166,166,76,24.42,1020.88
90,200,181,181,167,167,76,24.42,1020.88
91,200,182,182,168,168,76,24.42,1020.82
92,200,183,183,169,169,76,24.42,1020.82
93,200,184,184,170,170,76,24.42,1020.82
94,200,185,185,171,171,76,24.44,1020.86
95,200,186,186,172,172,76,24.44,1020.86
96,200,187,187,173,173,76,24.44,1020.86
97,200,188,188,174,174,76,24.44,1020.86
98,200,189,189,175,175,76,24.42,1020.89
99,200,190,190,176,176,76,24.42,1020.89
100,200,191,191,177,177,76,24.42,1020.89
101,200,192,192,178,178,76,24.42,1020.84
102,200,193,193,179,179,76,24.42,1020.84
103,200,194,194,180,180,76,24.42,1020.84
104,200,195,195,181,181,76,24.44,1020.86
105,200,196,196,182,182,76,24.44,1020.86
106,200,197,197,183,183,76,24.44,1020.86
107,200,198,198,184,184,76,24.44,1020.86
108,200,199,199,185,185,76,24.42,1020.86
109,200,200,200,186,186,77,24.42,1020.86
110,200,201,201,187,187,76,24.42,1020.86
111,200,202,202,188,188,77,24.42,1020.9
112,200,203,203,189,189,77,24.42,1020.9
113,200,204,204,190,190,79,24.42,1020.9
114,200,205,205,191,191,82,24.42,1020.9
115,200,206,206,192,192,86,24.42,1020.8
116,200,207,207,193,193,92,24.42,1020.8
117,200,208,208,194,194,99,24.42,1020.8
118,200,209,209,195,195,107,24.44,1020.84
119,200,210,210,196,196,113,24.44,1020.84
120,200,211,211,197,197,121,24.44,1020.84
121,200,212,212,198,198,123,24.44,1020.84
122,200,213,213,199,199,137,24.44,1020.86
123,200,214,214,200,200,141,24.44,1020.86
124,200,215,215,200,200,151,24.44,1020.86
125,200,216,216,200,200,158,24.42,1020.95
126,200,217,217,200,200,166,24.42,1020.95
127,200,218,218,200,200,170,24.42,1020.95
128,200,219,219,200,200,178,24.42,1020.95
