id,engine run time,intake_air_temperature,throttle_positio,engine_rpm,vehicle_speed,coolant_temperature
1,0,12,16,0,0,10
2,5,12,16,0,0,10
3,6,12,16,0,0,10
4,8,12,16,0,0,10
5,10,12,29,0,255,11
6,12,12,17,0,0,10
7,13,12,17,0,0,10
8,14,12,17,0,0,11
9,15,12,17,0,0,10
10,17,12,17,0,0,10
11,18,11,15,1305,0,10
12,19,11,15,1132,0,10
13,20,11,15,1112,0,10
14,22,12,16,1110,0,11
15,23,12,16,1107,0,11
16,24,12,16,1129,0,10
17,25,12,16,1134,0,10
18,27,12,16,1134,0,11
19,28,12,16,1107,0,11
20,29,12,16,1115,0,11
21,31,12,15,1115,0,11
22,32,12,16,1116,0,11
23,33,12,15,1123,0,11
24,34,12,16,1127,0,11
25,36,12,16,1124,0,11
26,37,12,16,1105,0,12
27,38,12,15,1122,0,11
28,39,13,16,1125,0,12
29,41,13,16,1115,0,12
30,42,13,16,1130,0,12
31,43,13,16,1122,0,12
32,44,13,16,1128,0,13
33,47,13,18,1602,0,13
34,48,13,23,1044,1,14
35,49,13,16,1370,3,14
36,50,13,15,1110,3,14
37,52,13,16,1207,2,15
38,53,13,15,1222,3,15
39,54,13,18,1213,1,15
40,56,13,16,1099,1,15
41,57,13,15,1121,1,16
42,59,13,17,1337,1,16
43,60,13,19,1249,5,17
44,62,14,18,1417,10,17
45,63,13,16,1825,13,18
46,64,13,17,1216,14,18
47,65,13,15,1101,15,18
48,67,13,15,1084,13,19
49,68,13,16,1087,12,19
50,69,14,19,1280,12,19
51,70,14,19,1082,15,20
52,72,14,20,1267,17,20
53,73,14,21,1425,20,20
54,74,14,21,1629,22,21
55,76,14,26,1892,26,21
56,77,14,15,1250,26,21
57,78,14,21,1278,25,22
58,79,14,23,1303,26,22
59,81,14,14,1275,26,23
60,82,13,15,1107,23,23
61,83,13,15,1064,20,24
62,84,13,15,1054,16,24
63,87,13,15,1058,3,25
64,88,13,16,1045,0,25
65,89,13,16,1071,0,25
66,91,14,15,1050,0,26
67,92,14,15,1035,0,27
68,93,13,15,1042,0,27
69,94,14,15,1023,0,27
70,97,13,15,1032,0,28
71,98,13,15,1018,0,28
72,99,14,15,1019,0,29
73,100,14,15,1018,0,29
74,102,13,15,1019,0,29
75,103,14,15,1010,0,30
76,105,14,15,994,0,30
77,107,13,15,1003,0,31
78,108,14,24,2133,0,31
79,109,14,24,1536,7,31
80,110,14,22,1968,15,31
81,112,14,14,1214,15,32
82,113,14,21,1248,17,32
83,114,14,21,1514,21,32
84,115,14,26,1876,26,32
85,117,14,14,1170,28,33
86,118,14,21,1435,28,33
87,119,14,28,1615,32,33
88,120,14,29,1831,37,34
89,122,14,27,2045,41,34
90,123,14,14,1549,42,35
91,124,13,27,1589,43,35
92,125,14,26,1663,45,35
93,127,14,26,1719,47,36
94,128,14,26,1782,49,36
95,129,14,26,1834,50,36
96,130,14,26,1888,52,36
97,132,14,25,1925,53,37
98,133,14,25,1970,54,38
99,134,13,24,2013,55,38
100,135,13,25,2046,56,38
101,138,13,21,1586,55,39
102,139,13,21,1579,55,40
103,140,13,20,1577,55,40
104,142,14,22,1570,55,41
105,143,13,24,1567,55,41
106,144,14,23,1573,55,41
107,145,14,21,1580,55,42
108,147,13,21,1580,55,43
109,148,13,21,1600,56,43
110,149,13,18,1613,56,43
111,150,13,16,1607,56,44
112,152,13,17,1588,56,44
113,153,14,20,1604,56,45
114,154,14,21,1626,57,45
115,155,14,20,1668,58,46
116,157,13,14,1661,58,46
117,158,13,14,1625,57,46
118,160,13,14,1587,55,48
119,162,13,14,1573,55,48
120,163,13,14,1570,55,48
121,164,14,14,1566,55,48
122,165,14,14,1557,54,49
123,167,14,14,1555,54,49
124,168,14,14,1563,55,49
125,169,14,14,1567,55,50
126,171,14,14,1563,55,50
127,172,14,14,1559,54,51
128,173,14,14,1515,53,51
129,174,14,14,1486,52,51
130,176,13,14,1474,52,52
131,177,14,14,1471,51,52
132,178,14,14,1474,51,52
133,179,14,14,1465,51,53
134,181,14,14,1468,51,52
135,182,14,14,1463,51,53
136,183,14,14,1376,48,53
137,184,14,13,1320,46,53
138,186,14,14,1307,46,53
139,187,14,13,904,36,53
140,188,14,14,856,24,54
141,189,14,13,841,19,54
142,191,14,13,829,19,54
143,193,14,21,1119,22,54
144,194,14,20,1342,27,55
145,196,14,16,1532,31,55
146,197,14,18,1171,32,55
147,198,14,17,1249,34,55
148,199,14,13,1247,34,55
149,201,14,13,1129,31,55
150,202,14,14,849,29,55
151,203,14,15,1072,28,56
152,206,14,25,1177,32,56
153,207,14,24,1308,36,56
154,208,14,25,1425,39,56
155,209,14,28,1557,42,57
156,211,14,29,1685,46,57
157,212,14,29,1815,50,57
158,213,14,14,1533,51,57
159,214,13,20,1470,51,57
160,216,14,16,1469,51,58
161,217,14,14,1455,51,58
162,218,13,14,1398,49,58
163,219,13,20,1366,47,58
164,221,14,19,1363,48,58
165,222,14,19,1417,50,59
166,224,14,14,1375,48,59
167,226,13,13,1265,45,59
168,227,14,16,1269,43,59
169,228,14,19,1245,43,60
170,229,14,21,1281,45,60
171,231,14,23,1329,46,60
172,232,14,22,1378,48,60
173,233,14,22,1428,50,60
174,235,14,22,1475,52,61
175,236,14,22,1532,54,61
176,237,14,22,1573,55,62
