timh diaforas x1,timh diaforas x2,timh deigmatos x1,timh deigmatos x2
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
15,15,77,84,
15,15,91,98,
0,0,90,82,
0,0,74,66,
0,0,58,50,
0,0,42,34,
0,0,26,18,
0,0,10,2,
0,0,-6,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
15,15,77,84,
15,0,91,83,
0,0,75,67,
0,0,59,51,
0,0,43,35,
0,0,27,19,
0,0,11,3,
0,0,-5,-13,
0,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
15,15,77,84,
0,0,76,68,
0,0,60,52,
0,0,44,36,
0,0,28,20,
0,0,12,4,
0,0,-4,-12,
0,0,-20,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
15,0,77,69,
0,0,61,53,
0,0,45,37,
0,0,29,21,
0,0,13,5,
0,0,-3,-11,
0,0,-19,-27,
0,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
0,0,62,54,
0,0,46,38,
0,0,30,22,
0,0,14,6,
0,0,-2,-10,
0,0,-18,-26,
0,0,-34,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,0,63,55,
0,0,47,39,
0,0,31,23,
0,0,15,7,
0,0,-1,-9,
0,0,-17,-25,
0,0,-33,-41,
0,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
0,0,48,40,
0,0,32,24,
0,0,16,8,
0,0,0,-8,
0,0,-16,-24,
0,0,-32,-40,
0,0,-48,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,0,49,41,
0,0,33,25,
0,0,17,9,
0,0,1,-7,
0,0,-15,-23,
0,0,-31,-39,
0,0,-47,-55,
0,15,-63,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,15,35,42,
0,0,34,26,
0,0,18,10,
0,0,2,-6,
0,0,-14,-22,
0,0,-30,-38,
0,0,-46,-54,
0,0,-62,-70,
15,15,-63,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
15,0,35,27,
0,0,19,11,
0,0,3,-5,
0,0,-13,-21,
0,0,-29,-37,
0,0,-45,-53,
0,0,-61,-69,
0,15,-77,-70,
15,15,-63,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,15,21,28,
0,0,20,12,
0,0,4,-4,
0,0,-12,-20,
0,0,-28,-36,
0,0,-44,-52,
0,0,-60,-68,
0,0,-76,-84,
15,15,-77,-70,
15,15,-63,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
15,0,21,13,
0,0,5,-3,
0,0,-11,-19,
0,0,-27,-35,
0,0,-43,-51,
0,0,-59,-67,
0,0,-75,-83,
0,15,-91,-84,
15,15,-77,-70,
15,15,-63,-56,
15,15,-49,-42,
15,15,-35,-28,
15,15,-21,-14,
15,15,-7,0,
15,15,7,14,
0,0,6,-2,
0,0,-10,-18,
0,0,-26,-34,
0,0,-42,-50,
0,0,-58,-66,
0,0,-74,-82,
0,0,-90,-98,
15,15,-91,-84,
15,15,-77,-70,
15,15,-63,-56,
