id_of_measurement,desirable_flight_level,desirable_lmotor,desirable_rmotor,lmotor_value,rmotor_value,altitude,temperature,pressure
1,200,200,200,115,115,75,24.79,1019.68
2,200,201,201,115,115,74,24.79,1019.68
3,200,202,202,200,200,75,24.79,1019.68
4,200,203,203,200,200,90,24.79,1019.78
5,200,204,204,200,200,110,24.79,1019.78
6,200,205,205,200,200,123,24.79,1019.78
7,200,206,206,200,200,128,24.79,1019.82
8,200,207,207,199,199,140,24.79,1019.82
9,200,208,208,198,198,148,24.79,1019.82
10,200,209,209,200,200,152,24.79,1019.73
11,200,210,210,200,200,153,24.79,1019.73
12,200,211,211,200,200,170,24.79,1019.73
13,200,212,212,200,200,177,24.79,1019.73
14,200,213,213,200,200,181,24.79,1019.82
15,200,214,214,199,199,191,24.79,1019.82
16,200,215,215,198,198,197,24.79,1019.82
17,200,216,216,200,200,202,24.79,1019.75
18,200,215,215,200,200,207,24.79,1019.75
19,200,214,214,200,200,212,24.79,1019.75
20,200,213,213,200,200,217,24.79,1019.75
21,200,212,212,200,200,222,24.79,1019.83
22,200,211,211,199,199,228,24.79,1019.83
23,200,210,210,198,198,233,24.79,1019.83
24,200,209,209,200,200,237,24.81,1019.75
25,200,208,208,200,200,240,24.81,1019.75
26,200,207,207,200,200,243,24.81,1019.75
27,200,206,206,200,200,249,24.81,1019.75
28,200,205,205,200,200,252,24.79,1019.77
29,200,204,204,198,198,257,24.79,1019.77
30,200,203,203,197,197,259,24.79,1019.77
31,200,202,202,200,200,261,24.79,1019.74
32,200,201,201,200,200,263,24.79,1019.74
33,200,200,200,200,200,267,24.79,1019.74
34,200,199,199,200,200,269,24.79,1019.74
35,200,198,198,200,200,272,24.79,1019.78
36,200,197,197,198,198,274,24.79,1019.78
37,200,196,196,197,197,275,24.79,1019.78
38,200,195,195,200,200,274,24.79,1019.78
39,200,194,194,200,200,276,24.79,1019.78
40,200,193,193,200,200,280,24.79,1019.78
41,200,192,192,200,200,281,24.79,1019.7
42,200,191,191,200,200,282,24.79,1019.7
43,200,190,190,198,198,282,24.79,1019.7
44,200,189,189,197,197,280,24.79,1019.7
45,200,188,188,200,200,279,24.81,1019.77
46,200,187,187,200,200,280,24.81,1019.77
47,200,186,186,200,200,281,24.81,1019.77
48,200,185,185,199,199,281,24.79,1019.69
49,200,184,184,198,198,280,24.79,1019.69
50,200,183,183,196,196,279,24.79,1019.69
51,200,182,182,195,195,278,24.79,1019.69
52,200,181,181,195,195,276,24.81,1019.77
