timh diaforas x1,timh diaforas x2,timh deigmatos x1,timh deigmatos x2
15,15,7,14,
15,15,21,28,
15,15,35,42,
15,15,49,56,
15,15,63,70,
15,15,77,84,
15,0,91,83,
0,0,75,67,
0,0,59,51,
0,0,43,35,
0,0,27,19,
0,0,11,3,
0,0,-5,-13,
0,0,-21,-29,
0,0,-37,-45,
0,0,-53,-61,
0,0,-69,-77,
0,15,-85,-78,
15,15,-71,-64,
15,15,-57,-50,
15,15,-43,-36,
15,15,-29,-22,
15,15,-15,-8,
15,15,-1,6,
15,15,13,20,
0,0,12,4,
0,0,-4,-12,
0,0,-20,-28,
0,0,-36,-44,
0,0,-52,-60,
0,0,-68,-76,
0,0,-84,-92,
15,15,-85,-78,
15,15,-71,-64,
15,15,-57,-50,
15,15,-43,-36,
15,15,-29,-22,
15,15,-15,-8,
15,15,-1,6,
15,0,13,5,
0,0,-3,-11,
0,0,-19,-27,
0,0,-35,-43,
0,0,-51,-59,
0,0,-67,-75,
0,0,-83,-91,
0,0,-99,-107,
0,0,-115,-123,
0,0,-128,-128,
0,0,-128,-128,
0,15,-128,-121,
15,15,-114,-107,
15,15,-100,-93,
15,15,-86,-79,
15,15,-72,-65,
15,15,-58,-51,
15,15,-44,-37,
15,0,-30,-38,
0,0,-46,-54,
0,0,-62,-70,
0,0,-78,-86,
0,0,-94,-102,
0,0,-110,-118,
0,0,-126,-128,
0,15,-128,-121,
15,15,-114,-107,
15,15,-100,-93,
15,15,-86,-79,
15,15,-72,-65,
15,15,-58,-51,
15,15,-44,-37,
15,15,-30,-23,
15,15,-16,-9,
15,15,-2,5,
15,15,12,19,
15,0,26,18,
0,0,10,2,
0,0,-6,-14,
0,0,-22,-30,
0,0,-38,-46,
0,0,-54,-62,
0,0,-70,-78,
0,0,-86,-94,
15,15,-87,-80,
15,15,-73,-66,
15,15,-59,-52,
15,15,-45,-38,
15,15,-31,-24,
15,15,-17,-10,
15,15,-3,4,
0,0,-4,-12,
0,0,-20,-28,
0,0,-36,-44,
0,0,-52,-60,
0,0,-68,-76,
0,0,-84,-92,
0,0,-100,-108,
15,15,-101,-94,
15,15,-87,-80,
15,15,-73,-66,
15,15,-59,-52,
15,15,-45,-38,
15,15,-31,-24,
15,15,-17,-10,
15,15,-3,4,
15,15,11,18,
15,15,25,32,
15,15,39,46,
15,0,53,45,
0,0,37,29,
0,0,21,13,
0,0,5,-3,
0,0,-11,-19,
0,0,-27,-35,
0,0,-43,-51,
15,15,-44,-37,
15,15,-30,-23,
15,15,-16,-9,
15,15,-2,5,
15,15,12,19,
15,15,26,33,
15,15,40,47,
0,0,39,31,
0,0,23,15,
0,0,7,-1,
0,0,-9,-17,
0,0,-25,-33,
0,0,-41,-49,
0,0,-57,-65,
0,0,-73,-81,
0,0,-89,-97,
0,0,-105,-113,
0,0,-121,-128,
15,15,-121,-114,
15,15,-107,-100,
15,15,-93,-86,
15,15,-79,-72,
15,15,-65,-58,
15,15,-51,-44,
15,15,-37,-30,
15,0,-23,-31,
0,0,-39,-47,
0,0,-55,-63,
0,0,-71,-79,
0,0,-87,-95,
0,0,-103,-111,
0,0,-119,-127,
0,15,-128,-121,
15,15,-114,-107,
15,15,-100,-93,
15,15,-86,-79,
15,15,-72,-65,
15,15,-58,-51,
15,15,-44,-37,
15,15,-30,-23,
0,0,-31,-39,
0,0,-47,-55,
0,0,-63,-71,
0,0,-79,-87,
0,0,-95,-103,
0,0,-111,-119,
0,0,-127,-128,
0,0,-128,-128,
0,0,-128,-128,
0,0,-128,-128,
0,0,-128,-128,
15,15,-121,-114,
15,15,-107,-100,
15,15,-93,-86,
15,15,-79,-72,
15,15,-65,-58,
15,15,-51,-44,
15,15,-37,-30,
0,0,-38,-46,
0,0,-54,-62,
0,0,-70,-78,
0,0,-86,-94,
0,0,-102,-110,
0,0,-118,-126,
