m,b
24,607
-4832,-4225,
1238,-583,
631,6094,
5487,-583,
-1190,631,
631,3666,
3666,1238,
-3618,-8474,
-3618,-1797,
-5439,-5439,
-1797,1845,
24,-2404,
24,631,
-3618,-6653,
-3618,1845,
24,-3011,
-1190,2452,
4880,6094,
7915,7308,
3059,-583,
-1190,-1190,
-3011,-4832,
-1797,1845,
24,-1190,
1238,3059,
1238,-2404,
-2404,1845,
4273,631,
-1190,-583,
24,3666,
4273,3666,
-583,-6653,
-2404,1238,
-583,-3011,
-2404,3666,
4273,24,
-583,24,
-583,-4225,
-4225,24,
24,-3011,
-3011,1238,
2452,4273,
6701,4880,
2452,-1797,
-1797,-1190,
-4832,-4225,
-2404,24,
631,-1797,
24,3666,
3059,-1190,
-3011,1238,
4880,2452,
-583,-583,
24,1845,
3666,3059,
631,-4832,
-4832,-1190,
-3011,-4832,
-3011,3059,
3666,-1190,
-1190,1238,
631,-4832,
-6653,-2404,
24,24,
-583,631,
3059,5487,
7915,6094,
3059,24,
-1797,-583,
-3011,-4225,
-3011,-1190,
1238,-1797,
-1190,3059,
2452,24,
-3618,-3011,
3059,3059,
24,24,
24,1238,
1238,2452,
1845,-3618,
-4225,-1797,
-583,-1797,
-1797,3059,
4880,2452,
1845,3059,
24,-4832,
-5439,-4225,
-1190,24,
-2404,-1190,
631,2452,
6094,4273,
2452,631,
-1190,-1190,
-3011,-1797,
-583,631,
1845,24,
24,2452,
4273,1845,
-2404,-2404,
3059,5487,
2452,631,
-583,631,
2452,1845,
631,-3618,
-6046,-3618,
-3011,-3618,
-4225,-583,
1845,24,
631,-583,
-583,-2404,
-5439,-4832,
-3618,24,
24,-583,
1845,3666,
6701,7308,
5487,2452,
631,631,
-1797,-3618,
-3618,-583,
2452,24,
-1190,1238,
2452,1238,
-2404,-3618,
631,3666,
